"code","name","lat","long"
"6308","KAB. HULU SUNGAI UTARA",-2.4188733,115.25433
"6371","KOTA BANJARMASIN",-3.327491,114.589
"6372","KOTA BANJARBARU",-3.4386172,114.83106
"6401","KAB. PASER",-1.9104348,116.19133
"6402","KAB. KUTAI KARTANEGARA",-0.44277993,116.99867
"6403","KAB. BERAU",2.1500323,117.5076
"6407","KAB. KUTAI BARAT",-0.23654777,115.696434
"6408","KAB. KUTAI TIMUR",0.5256821,117.608215
"6409","KAB. PENAJAM PASER UTARA",-1.3082035,116.726906
"6411","KAB. MAHAKAM ULU",0.50568146,115.270805
"6471","KOTA BALIKPAPAN",-1.2763375,116.82776
"6472","KOTA SAMARINDA",-0.49136484,117.14598
"6474","KOTA BONTANG",0.069548994,117.4442
"6501","KAB. BULUNGAN",2.840859,117.39808
"6502","KAB. MALINAU",3.5519333,116.622086
"6503","KAB. NUNUKAN",4.0770764,117.71891
"6504","KAB. TANA TIDUNG",3.6022673,116.90275
"6571","KOTA TARAKAN",3.3137426,117.60486
"7101","KAB. BOLAANG MONGONDOW",0.870606,124.02441
"7102","KAB. MINAHASA",1.3007637,124.91087
"7103","KAB. KEPULAUAN SANGIHE",3.612452,125.49964
"7104","KAB. KEPULAUAN TALAUD",4.0057917,126.681885
"7105","KAB. MINAHASA SELATAN",1.2132512,124.59717
"7106","KAB. MINAHASA UTARA",1.4590614,124.97473
"7107","KAB. MINAHASA TENGGARA",1.0418133,124.79762
"7173","KOTA TOMOHON",1.3145249,124.827446
"7174","KOTA KOTAMOBAGU",0.74349684,124.31267
"7201","KAB. BANGGAI",-0.994323,122.788536
"7202","KAB. POSO",-1.3952023,120.75482
"7203","KAB. DONGGALA",-0.67846435,119.75257
"7204","KAB. TOLI TOLI",1.0184933,120.79802
"7205","KAB. BUOL",1.1690776,121.40976
"7206","KAB. MOROWALI",-2.4808633,121.93429
"7207","KAB. BANGGAI KEPULAUAN",-1.3119042,123.29845
"7208","KAB. PARIGI MOUTONG",-0.805427,120.160324
"7209","KAB. TOJO UNA UNA",-0.91465074,121.588524
"7210","KAB. SIGI",-1.0473982,119.95034
"7211","KAB. BANGGAI LAUT",-1.606292,123.49638
"7212","KAB. MOROWALI UTARA",-1.9772829,121.33551
"7271","KOTA PALU",-0.89995956,119.89102
"7301","KAB. KEPULAUAN SELAYAR",-6.1201754,120.46635
"7302","KAB. BULUKUMBA",-5.558244,120.19308
"7303","KAB. BANTAENG",-5.5531535,119.967186
"7304","KAB. JENEPONTO",-5.676945,119.74939
"7305","KAB. TAKALAR",-5.4254594,119.44063
"7306","KAB. GOWA",-5.1998076,119.45319
"7307","KAB. SINJAI",-5.119899,120.23544
"7308","KAB. BONE",-4.539252,120.30926
"7309","KAB. MAROS",-5.0161486,119.57446
"7310","KAB. PANGKAJENE KEPULAUAN",-4.845732,119.55983
"7311","KAB. BARRU",-4.4140406,119.617294
"7312","KAB. SOPPENG",-4.36445,119.89777
"7313","KAB. WAJO",-4.1120715,120.02715
"7314","KAB. SIDENRENG RAPPANG",-3.9330525,119.7693
"7315","KAB. PINRANG",-3.8092592,119.65
"7316","KAB. ENREKANG",-3.5883298,119.7703
"7317","KAB. LUWU",-3.394692,120.36551
"7318","KAB. TANA TORAJA",-3.086543,119.857086
"7322","KAB. LUWU UTARA",-2.5498538,120.34616
"7324","KAB. LUWU TIMUR",-2.6162481,121.12411
"7326","KAB. TORAJA UTARA",-2.9736211,119.89482
"7371","KOTA MAKASSAR",-5.1332154,119.40784
"7372","KOTA PARE PARE",-4.027782,119.63333
"7373","KOTA PALOPO",-3.0083864,120.20156
"7401","KAB. KOLAKA",-4.0608087,121.61612
"7402","KAB. KONAWE",-3.8542335,122.042725
"7403","KAB. MUNA",-4.7978706,122.718956
"7404","KAB. BUTON",-5.495774,122.84014
"7405","KAB. KONAWE SELATAN",-4.3320355,122.28132
"7406","KAB. BOMBANA",-4.747235,122.01109
"7407","KAB. WAKATOBI",-5.3283,23.5389
"7408","KAB. KOLAKA UTARA",-3.4901354,120.88753
"7409","KAB. KONAWE UTARA",-3.512353,122.11073
"7410","KAB. BUTON UTARA",-4.8010073,122.98309
"7411","KAB. KOLAKA TIMUR",-4.00051,121.861946
"7412","KAB. KONAWE KEPULAUAN",-4.052608,122.98859
"7413","KAB. MUNA BARAT",-4.791714,122.49419
"7414","KAB. BUTON TENGAH",-5.316414,122.53198
"7415","KAB. BUTON SELATAN",-5.608165,122.600624
"7471","KOTA KENDARI",-3.9729018,122.51174
"7472","KOTA BAU BAU",-5.4850717,122.5848
"7501","KAB. GORONTALO",0.62900305,122.980934
"7502","KAB. BOALEMO",0.5292719,122.34754
"7503","KAB. BONE BOLANGO",0.5574113,123.14392
"7504","KAB. PAHUWATO",0.7055278,121.71954
"7505","KAB. GORONTALO UTARA",0.7909498,122.86871
"7571","KOTA GORONTALO",0.53190607,123.0595
"7601","KAB. PASANGKAYU",-1.1737448,119.377235
"7602","KAB. MAMUJU",-2.6897492,118.88454
"7603","KAB. MAMASA",-2.9556255,119.36286
"7604","KAB. POLEWALI MANDAR",-3.4077172,119.31116
"7605","KAB. MAJENE",-3.5480962,118.9593
